Sample_ID,UMAP_1,UMAP_2,leiden_clusters
TCGA-BH-A0E0-11,-1.954573,10.969056,4
TCGA-BH-A0H9-11,-3.7458246,9.973478,4
TCGA-BH-A0B8-11,-4.1294184,9.628586,4
TCGA-AR-A0TZ-01,4.865984,13.549913,0
TCGA-BH-A0E1-11,-2.173361,11.058349,4
TCGA-B6-A0RL-01,4.7247896,14.30721,0
TCGA-A7-A0DC-11,-3.2642455,10.356679,4
TCGA-BH-A0DP-11,-2.130349,10.96346,4
TCGA-A1-A0SJ-01,3.272471,12.650916,0
TCGA-BH-A0AY-11,-2.9098876,10.641239,4
TCGA-B6-A0RO-01,3.7193215,13.029595,0
TCGA-BH-A0DQ-11,-2.0125508,11.124292,4
TCGA-B6-A0RS-01,2.7055807,9.57335,1
TCGA-BH-A0BM-11,-2.1731663,11.100148,4
TCGA-A1-A0SO-01,4.509166,6.050572,3
TCGA-A8-A075-01,4.3668423,10.881375,1
TCGA-B6-A0RN-01,1.2384255,13.3757515,0
TCGA-AO-A0JG-01,0.4609625,12.192497,2
TCGA-B6-A0RU-01,3.7382736,5.812853,3
TCGA-A1-A0SH-01,1.8697464,11.144651,2
TCGA-A2-A0T7-01,1.3331465,10.43944,2
